AT1	ENSG00000099204.22
Aberrant Basaloid	ENSG00000205542.11
B Plasma	ENSG00000259842.2
Club	ENSG00000161055.4
DC Langerhans	ENSG00000166920.13
Goblet	ENSG00000160180.17
ILC A	ENSG00000115523.17
ILC B	ENSG00000115738.10
Lymphatic	ENSG00000160180.17
Macrophage	ENSG00000164733.23
Macrophage Alveolar	ENSG00000102575.14
Mast	ENSG00000171223.6
Mesothelial	ENSG00000067082.15
Myofibroblast	ENSG00000130066.17
NK	ENSG00000008517.19
Pericytes	ENSG00000100097.12
SMC	ENSG00000106211.10
T	ENSG00000168685.15
T Cytotoxic	ENSG00000271503.7
T Regulatory	ENSG00000008517.19
VE Capillary A	ENSG00000234745.14
VE Capillary B	ENSG00000204592.9
cDC1	ENSG00000179344.17
cDC2	ENSG00000179344.17
cMonocyte	ENSG00000163131.12
ncMonocyte	ENSG00000130066.17
