AT1	ENSG00000210144.1
Basal	ENSG00000260592.3
Ciliated	ENSG00000189143.10
Club	ENSG00000198695.2
DC Langerhans	ENSG00000204482.11
DC Mature	ENSG00000078081.8
Goblet	ENSG00000215182.8
ILC A	ENSG00000186810.8
ILC B	ENSG00000100385.15
Ionocyte	ENSG00000105357.20
Lymphatic	ENSG00000198695.2
Macrophage	ENSG00000136235.17
Macrophage Alveolar	ENSG00000099194.6
Myofibroblast	ENSG00000198695.2
NK	ENSG00000100385.15
T	ENSG00000152495.11
T Cytotoxic	ENSG00000160654.11
T Regulatory	ENSG00000049768.18
VE Capillary B	ENSG00000206503.15
cDC1	ENSG00000196735.13
cDC2	ENSG00000196735.13
cMonocyte	ENSG00000151726.16
ncMonocyte	ENSG00000254087.8
pDC	ENSG00000107742.14
