AT1	ENSG00000171401.15
Aberrant Basaloid	ENSG00000134757.5
Basal	ENSG00000114270.18
Ciliated	ENSG00000132554.21
DC Langerhans	ENSG00000204257.15
Goblet	ENSG00000117983.17
ILC A	ENSG00000247774.9
ILC B	ENSG00000180090.6
Ionocyte	ENSG00000115112.8
Lymphatic	ENSG00000146966.13
Macrophage	ENSG00000154589.7
Macrophage Alveolar	ENSG00000145850.9
Mast	ENSG00000143799.14
Mesothelial	ENSG00000187193.9
NK	ENSG00000185201.18
Pericytes	ENSG00000187244.12
SMC	ENSG00000137033.12
T	ENSG00000138767.14
T Cytotoxic	ENSG00000242510.1
VE Arterial	ENSG00000136068.16
VE Capillary A	ENSG00000187244.12
VE Capillary B	ENSG00000204592.9
VE Peribronchial	ENSG00000142089.17
VE Venous	ENSG00000173517.11
cDC1	ENSG00000204287.14
cDC2	ENSG00000066336.13
ncMonocyte	ENSG00000100796.18
pDC	ENSG00000198851.10
