AT1	ENSG00000167656.5
Basal	ENSG00000151914.22
Ciliated	ENSG00000177640.16
DC Langerhans	ENSG00000223865.12
Fibroblast	ENSG00000189129.14
Goblet	ENSG00000215182.8
ILC A	ENSG00000234741.10
Ionocyte	ENSG00000104490.18
Macrophage	ENSG00000255136.3
Mesothelial	ENSG00000129515.20
PNEC	ENSG00000170348.9
Pericytes	ENSG00000100097.12
SMC	ENSG00000198467.16
T	ENSG00000168214.22
T Cytotoxic	ENSG00000165502.7
VE Capillary A	ENSG00000166670.10
VE Capillary B	ENSG00000187244.12
VE Peribronchial	ENSG00000102755.13
cDC2	ENSG00000223865.12
cMonocyte	ENSG00000143546.10
pDC	ENSG00000231721.8
