AT1	ENSG00000198888.2
AT2	ENSG00000185499.17
Ciliated	ENSG00000160472.5
DC Langerhans	ENSG00000231389.8
Goblet	ENSG00000166347.19
ILC A	ENSG00000134539.17
Lymphatic	ENSG00000003436.16
Macrophage Alveolar	ENSG00000170323.9
Mast	ENSG00000163751.4
NK	ENSG00000115523.17
Pericytes	ENSG00000211445.13
SMC	ENSG00000212907.2
T	ENSG00000168685.15
T Cytotoxic	ENSG00000105374.10
VE Capillary A	ENSG00000210082.2
VE Capillary B	ENSG00000125148.7
VE Venous	ENSG00000120885.22
cDC2	ENSG00000223865.12
cMonocyte	ENSG00000163220.11
