AT1	ENSG00000197747.9
AT2	ENSG00000137285.11
Aberrant Basaloid	ENSG00000170421.13
B	ENSG00000007171.19
B Plasma	ENSG00000118972.3
Basal	ENSG00000163739.5
Ciliated	ENSG00000159588.15
DC Langerhans	ENSG00000172243.18
Fibroblast	ENSG00000166292.12
Goblet	ENSG00000136110.13
ILC A	ENSG00000151883.20
ILC B	ENSG00000143184.5
Ionocyte	ENSG00000102109.9
Lymphatic	ENSG00000136943.12
Mast	ENSG00000157404.17
Mesothelial	ENSG00000169715.15
Myofibroblast	ENSG00000019991.18
NK	ENSG00000150045.12
PNEC	ENSG00000162374.18
Pericytes	ENSG00000140545.16
SMC	ENSG00000109610.6
T	ENSG00000137285.11
T Cytotoxic	ENSG00000008517.19
VE Arterial	ENSG00000184113.10
VE Capillary A	ENSG00000164035.10
VE Capillary B	ENSG00000116824.5
VE Peribronchial	ENSG00000203883.7
VE Venous	ENSG00000164035.10
cDC1	ENSG00000105369.10
cDC2	ENSG00000166428.14
cMonocyte	ENSG00000197249.14
ncMonocyte	ENSG00000140379.9
pDC	ENSG00000167286.11
