AT1	ENSG00000205542.11
AT2	ENSG00000109084.14
Ciliated	ENSG00000165309.14
DC Langerhans	ENSG00000129226.14
Goblet	ENSG00000163435.16
ILC A	ENSG00000151883.20
ILC B	ENSG00000111796.4
Ionocyte	ENSG00000233041.8
Macrophage	ENSG00000072274.14
Macrophage Alveolar	ENSG00000198848.13
Mast	ENSG00000090104.12
Myofibroblast	ENSG00000163359.17
NK	ENSG00000117091.10
Pericytes	ENSG00000185736.16
SMC	ENSG00000131055.5
T	ENSG00000211777.2
T Cytotoxic	ENSG00000234745.14
T Regulatory	ENSG00000130255.13
VE Arterial	ENSG00000276409.5
VE Capillary A	ENSG00000138772.13
VE Capillary B	ENSG00000102934.10
VE Peribronchial	ENSG00000169744.13
VE Venous	ENSG00000189129.14
cDC1	ENSG00000112335.15
cDC2	ENSG00000196735.13
cMonocyte	ENSG00000291237.1
