AT1	ENSG00000225630.1
AT2	ENSG00000196260.5
Aberrant Basaloid	ENSG00000184292.7
B Plasma	ENSG00000211899.10
Basal	ENSG00000177410.13
Ciliated	ENSG00000172361.6
DC Langerhans	ENSG00000223865.12
Goblet	ENSG00000150687.12
ILC A	ENSG00000198821.12
ILC B	ENSG00000143185.4
Macrophage	ENSG00000130203.10
Macrophage Alveolar	ENSG00000170323.9
Mesothelial	ENSG00000100906.12
NK	ENSG00000213402.3
T	ENSG00000167286.11
T Cytotoxic	ENSG00000153563.17
T Regulatory	ENSG00000227507.3
VE Capillary A	ENSG00000175197.13
VE Capillary B	ENSG00000112715.26
VE Venous	ENSG00000212907.2
cDC1	ENSG00000223865.12
cDC2	ENSG00000159189.13
cMonocyte	ENSG00000163221.9
ncMonocyte	ENSG00000102265.12
pDC	ENSG00000008517.19
